"Product Code","Product Name",Variant,Expected,Counted
PAIN-30,"Paintaseed Tab -30 ",,9.0000,
PAL-10,"Palsinuron -10 Cap",,0.0000,
PAL-30,"Palsinuron -30 Cap",,37.0000,
PAN,Paneerphool,,3.0000,
PAT,"patankar Kadha",,52.0000,
PLB,"Prithvi Lakshya Book",,3.0000,
PSORO-10,"Psoroderma -10 Tab",,0.0000,
PSORO-30,"Psoroderma -30 Tab",,16.0000,
PUNR,"Punarnavasav ",,3.0000,
RC10,"Rubber Cathetor No. 10",,0.0000,
RC3,"Rubber Cathetor No. 3",,30.0000,
SHBIG,"Shatavari ",,9.0000,
SHSM,"Shatavari small",,3.0000,
SOYC,"Soya Cofee",,2.0000,
SPC,"Shankhapushpi Churn",,0.0000,
SPIR,Spirulina,,0.0000,
SS-10,"SS - 10 Tab",,0.0000,
SS-30,"SS - 30 Tab",,65.0000,
STO-10,"Stonvil -10 Cap",,0.0000,
STO-30,"Stonvil -30Cap",,42.0000,
STS-10,"Sutshekhar Vati -10 Tab ",,0.0000,
STS-30,"Sutshekhar Vati -30 Tab ",,12.0000,
SUN-10,"Sunarain - 10 Cap",,0.0000,
SUN30,"Sunarain - 30",,36.0000,
SWASTH,"Shivambu Chikitsa Hindi",,191.0000,
SWASTM,"Shivambu Chikitsa Marathi",,177.0000,
TAG,Tagara,,0.0000,
TAKRA-1,"Takararishta - 1",,6.0000,
TAKRA-2,"Takrarishta - 2",,6.0000,
TB,"Tejgyan Books",,0.0000,
TC,"Triphala Churn",,0.0000,
ULTRA10,"Ultra Ortho10",,0.0000,
ULTRA30,"Ultra Ortho30",,0.0000,
UP,"Urea Powder ",,3.0000,
UP200,"Urea Powder 200gm",,0.0000,
UTB,"Urine Therapy",,6.0000,
UTGM,"Utroxyl GM - 30",,10.0000,
UTGM-10,"Utroxyl Gm - 10 ",,0.0000,
UTGT10,"Utroxyl GT-10",,0.0000,
UTGT30,"Utroxyl GT-30",,8.0000,
UTS,"U-Tone Syrup",,10.0000,
VIRE,"Virechan ",,13.0000,
VKAM10,Kamadudha10,,0.0000,
VKAM30,Kamadudha30,,8.0000,
VTRIPH10,"Triphala Tab -10",,0.0000,
VTRIPH30,"Triphala Tab -30",,0.0000,
WB,"Water Bottle ",,0.0000,
WHEAT,Wheatgrass,,0.0000,
WM,"White Medicine-6",,49.0000,
YC,"Yoga Chart",,0.0000,
YD,"Yoga dvd ",,46.0000,
ZTT,"Triaphala Tablet ",,0.0000,
